epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.171,2.60159,3.50234,3.48379,0.12722,0.36199,0.13238,0.06766,1.73262,2.93655,2.92175,0.000416113,0.000416113,0.000416113
2,220.522,1.61931,2.51857,2.31155,0.42154,0.27631,0.2312,0.1329,1.37303,2.23151,2.29857,0.000828658,0.000828658,0.000828658
3,330.145,1.29444,2.10852,1.94061,0.43727,0.45206,0.2879,0.18344,1.19092,1.9222,2.02531,0.00123708,0.00123708,0.00123708
4,411.536,1.18818,1.91988,1.80781,0.5195,0.25517,0.28164,0.1942,1.07139,1.8435,1.87923,0.00123144,0.00123144,0.00123144
5,458.703,1.08773,1.8158,1.71173,0.19205,0.54549,0.30544,0.21248,1.01005,1.6672,1.85337,0.00122525,0.00122525,0.00122525
6,511.012,1.02537,1.7334,1.65549,0.80465,0.25612,0.33156,0.21425,1.15635,1.74206,2.01963,0.00121906,0.00121906,0.00121906
7,544.244,0.97945,1.66955,1.59066,0.20581,0.48229,0.33906,0.24512,0.99315,1.65878,1.76044,0.00121287,0.00121287,0.00121287
8,623.556,0.9402,1.61234,1.55504,0.78801,0.27925,0.36682,0.25842,1.00138,1.55722,1.76215,0.00120669,0.00120669,0.00120669
9,714.847,0.90169,1.58752,1.51887,0.20936,0.65883,0.34708,0.25514,0.90723,1.46627,1.67912,0.0012005,0.0012005,0.0012005
10,771.651,0.85376,1.54351,1.47339,0.23822,0.63059,0.38347,0.28009,0.9102,1.41028,1.68907,0.00119431,0.00119431,0.00119431
11,840.998,0.84319,1.52251,1.46305,0.22945,0.65842,0.36265,0.26149,0.92872,1.55556,1.72784,0.00118812,0.00118812,0.00118812
12,915.814,0.80908,1.46716,1.42528,0.46486,0.5365,0.39014,0.28439,0.92988,1.44589,1.73063,0.00118194,0.00118194,0.00118194
13,992.212,0.79257,1.43291,1.41058,0.26496,0.57565,0.40408,0.29471,0.89776,1.37005,1.67851,0.00117575,0.00117575,0.00117575
14,1040.31,0.77513,1.41825,1.40062,0.24241,0.53537,0.38656,0.28382,0.8402,1.37822,1.58493,0.00116956,0.00116956,0.00116956
15,1118.23,0.75992,1.39389,1.38867,0.53678,0.46178,0.40873,0.28956,0.88796,1.39648,1.59897,0.00116337,0.00116337,0.00116337
16,1206.07,0.75448,1.39021,1.38031,0.28885,0.60062,0.4178,0.30623,0.8698,1.32551,1.63345,0.00115719,0.00115719,0.00115719
17,1280.38,0.74125,1.37119,1.35663,0.64037,0.42805,0.46239,0.34243,0.84867,1.30425,1.63479,0.001151,0.001151,0.001151
18,1363.11,0.7236,1.35617,1.35197,0.32491,0.57504,0.4819,0.35615,0.83104,1.25213,1.60762,0.00114481,0.00114481,0.00114481
19,1448.05,0.71295,1.31894,1.32816,0.69781,0.42774,0.48849,0.36333,0.82245,1.31806,1.6085,0.00113863,0.00113863,0.00113863
20,1533.42,0.71068,1.32545,1.33959,0.70616,0.44654,0.48479,0.35501,0.82165,1.25674,1.57692,0.00113244,0.00113244,0.00113244
21,1618.05,0.68843,1.29794,1.31449,0.34713,0.5997,0.50541,0.38041,0.81616,1.23425,1.56732,0.00112625,0.00112625,0.00112625
22,1694.8,0.68085,1.29124,1.31008,0.60259,0.44259,0.45613,0.31556,0.98677,1.33616,1.75315,0.00112006,0.00112006,0.00112006
23,1773.09,0.68152,1.26826,1.3024,0.68043,0.4805,0.49892,0.37687,0.80128,1.21566,1.52508,0.00111388,0.00111388,0.00111388
24,1853.86,0.67828,1.27363,1.30099,0.68751,0.43268,0.50507,0.38276,0.83195,1.22425,1.6043,0.00110769,0.00110769,0.00110769
25,1934.72,0.65298,1.2412,1.2816,0.33271,0.64724,0.51533,0.3967,0.80167,1.19976,1.56871,0.0011015,0.0011015,0.0011015
26,2005.21,0.66367,1.24701,1.28689,0.69646,0.43192,0.49196,0.37623,0.77762,1.22946,1.49269,0.00109531,0.00109531,0.00109531
27,2062.93,0.65197,1.24505,1.28396,0.38089,0.61069,0.54378,0.4111,0.78371,1.19796,1.47557,0.00108913,0.00108913,0.00108913
28,2125.26,0.64689,1.23153,1.27499,0.6918,0.49374,0.54468,0.40532,0.78309,1.11414,1.48515,0.00108294,0.00108294,0.00108294
29,2199.6,0.63677,1.20477,1.26026,0.36745,0.60055,0.51626,0.39722,0.80051,1.21263,1.58571,0.00107675,0.00107675,0.00107675
30,2284.27,0.62285,1.18165,1.24996,0.69485,0.45681,0.52625,0.40932,0.75878,1.21268,1.45804,0.00107056,0.00107056,0.00107056
31,2316.92,0.61848,1.1712,1.2492,0.39869,0.64881,0.53751,0.39833,0.78361,1.13279,1.48537,0.00106437,0.00106437,0.00106437
32,2346.89,0.62205,1.18265,1.24887,0.66978,0.48835,0.52696,0.39465,0.75945,1.19386,1.48823,0.00105819,0.00105819,0.00105819
33,2376.57,0.60834,1.18574,1.24041,0.73574,0.40244,0.54937,0.41483,0.78045,1.17187,1.53125,0.001052,0.001052,0.001052
34,2406.73,0.60018,1.16041,1.23213,0.37325,0.68632,0.56448,0.4412,0.73695,1.11556,1.47314,0.00104581,0.00104581,0.00104581
35,2474.95,0.59888,1.13804,1.23639,0.75976,0.46666,0.55889,0.41342,0.76066,1.10276,1.51963,0.00103962,0.00103962,0.00103962
36,2551.84,0.60092,1.1461,1.22655,0.43099,0.59327,0.57748,0.45475,0.74263,1.08222,1.46732,0.00103344,0.00103344,0.00103344
37,2627.18,0.59045,1.1312,1.21922,0.39383,0.73778,0.57436,0.45412,0.74882,1.13801,1.48398,0.00102725,0.00102725,0.00102725
38,2707.28,0.58933,1.13998,1.21484,0.72776,0.47304,0.56859,0.43747,0.73297,1.06835,1.41464,0.00102106,0.00102106,0.00102106
